
Query #1
dept_name	first_name	last_name	hire_date
Customer Service	Tonny	Butterworth	1985-01-01
Customer Service	Marjo	Giarratana	1988-02-12
Customer Service	Xiaobin	Spinelli	1991-08-17
Customer Service	Yuchang	Weedman	1989-07-10
Development	Leon	DasSarma	1986-10-21
Development	DeForest	Hagimont	1985-01-01
Finance	Ebru	Alpin	1985-01-01
Finance	Isamu	Legleitner	1985-01-14
Human Resources	Shirish	Ossenbruggen	1985-01-01
Human Resources	Karsten	Sigstam	1985-08-04
Marketing	Margareta	Markovitch	1985-01-01
Marketing	Vishwani	Minakawa	1986-04-12
Production	Rosine	Cools	1985-11-22
Production	Oscar	Ghazalie	1992-02-05
Production	Shem	Kieras	1988-10-14
Production	Krassimir	Wegerle	1985-01-01
Quality Management	Rutger	Hofmeyr	1989-01-07
Quality Management	Peternela	Onuegbe	1985-01-01
Quality Management	Dung	Pesch	1989-06-09
Quality Management	Sanjoy	Quadeer	1986-08-12
Research	Hilary	Kambil	1988-01-31
Research	Arie	Staelin	1985-01-01
Sales	Przemyslawa	Kaelbling	1985-01-01
Sales	Hauke	Zhang	1986-12-30

Query #2
dept_name	emp_count
Customer Service	23580
Development	85707
Finance	17346
Human Resources	17786
Marketing	20211
Production	73485
Quality Management	20117
Research	21126
Sales	52245

Query #3
emp_no	from_date	to_date	birth_date	first_name	last_name
CityName	CityPopulation	CountryName	CountryPopulation
Nassau	172000	Bahamas	307000
George Town	19600	Cayman Islands	38000
Avarua	11900	Cook Islands	20000
Djibouti	383000	Djibouti	638000
Stanley	1636	Falkland Islands	2000
Gibraltar	27025	Gibraltar	25000
Macao	437500	Macao	473000
Koror	12000	Palau	19000
Adamstown	42	Pitcairn	50
Doha	355000	Qatar	599000
Saint-Pierre	5808	Saint Pierre and Miquelon	7000
Victoria	41000	Seychelles	77000
Singapore	4017733	Singapore	3567000
El-Aaiún	169000	Western Sahara	293000

Query #7
Name	LocalName	Region	Population	Percentage	Speakers
Puerto Rico	Puerto Rico	Caribbean	3869000	51.3	1984797.0
Panama	Panamá	Central America	2856000	76.8	2193408.0
Paraguay	Paraguay	South America	5496000	55.1	3028296.0
Uruguay	Uruguay	South America	3337000	95.7	3193509.0
Costa Rica	Costa Rica	Central America	4023000	97.5	3922425.0
Nicaragua	Nicaragua	Central America	5074000	97.6	4952224.0
El Salvador	El Salvador	Central America	6276000	100.0	6276000.0
Honduras	Honduras	Central America	6485000	97.2	6303420.0
Bolivia	Bolivia	South America	8329000	87.7	7304533.0
Guatemala	Guatemala	Central America	11385000	64.7	7366095.0
Dominican Republic	República Dominicana	Caribbean	8495000	98.0	8325100.0
Cuba	Cuba	Caribbean	11201000	100.0	11201000.0
Ecuador	Ecuador	South America	12646000	93.0	11760780.0
Chile	Chile	South America	15211000	89.7	13644267.0
Peru	Perú/Piruw	South America	25662000	79.8	20478276.0
Venezuela	Venezuela	South America	24170000	96.9	23420730.0
Spain	España	Southern Europe	39441700	74.4	29344625.0
Argentina	Argentina	South America	37032000	96.8	35846976.0
Colombia	Colombia	South America	42321000	99.0	41897790.0
Mexico	México	Central America	98881000	92.1	91069401.0

Query #8
Name	Region	Languages
Canada	North America	12
China	Eastern Asia	12
India	Southern and Central Asia	12
Russian Federation	Eastern Europe	12
United States	North America	12
South Africa	Southern Africa	11
Tanzania	Eastern Africa	11
Congo, The Democratic Republic of the	Central Africa	10
Iran	Southern and Central Asia	10
Kenya	Eastern Africa	10
Mozambique	Eastern Africa	10
Nigeria	Western Africa	10
Philippines	Southeast Asia	10
Sudan	Northern Africa	10
Uganda	Eastern Africa	10
Angola	Central Africa	9
Indonesia	Southeast Asia	9
Vietnam	Southeast Asia	9
Australia	Australia and New Zealand	8
Austria	Western Europe	8
Cameroon	Central Africa	8
Chad	Central Africa	8
Czech Republic	Eastern Europe	8
Italy	Southern Europe	8
Liberia	Western Africa	8
Myanmar	Southeast Asia	8
Namibia	Southern Africa	8
Pakistan	Southern and Central Asia	8
Sierra Leone	Western Africa	8
Togo	Western Africa	8
Bangladesh	Southern and Central Asia	7
Benin	Western Africa	7
Denmark	Nordic Countries	7
Ethiopia	Eastern Africa	7
Guinea	Western Africa	7
Kyrgyzstan	Southern and Central Asia	7
Nepal	Southern and Central Asia	7
Ukraine	Eastern Europe	7
Belgium	Western Europe	6
Burkina Faso	Western Africa	6
Central African Republic	Central Africa	6
Congo	Central Africa	6
Eritrea	Eastern Africa	6
France	Western Europe	6
Georgia	Middle East	6
Germany	Western Europe	6
Ghana	Western Africa	6
Guinea-Bissau	Western Africa	6
Hungary	Eastern Europe	6
Japan	Eastern Asia	6
Kazakstan	Southern and Central Asia	6
Latvia	Baltic Countries	6
Malaysia	Southeast Asia	6
Mali	Western Africa	6
Mauritania	Western Africa	6
Mauritius	Eastern Africa	6
Mexico	Central America	6
Micronesia, Federated States of	Micronesia	6
Mongolia	Eastern Asia	6
Northern Mariana Islands	Micronesia	6
Panama	Central America	6
Romania	Eastern Europe	6
Senegal	Western Africa	6
Sweden	Nordic Countries	6
Taiwan	Eastern Asia	6
Thailand	Southeast Asia	6
Uzbekistan	Southern and Central Asia	6
Yugoslavia	Southern Europe	6
Zambia	Eastern Africa	6
Afghanistan	Southern and Central Asia	5
Botswana	Southern Africa	5
Brazil	South America	5
Colombia	South America	5
Comoros	Eastern Africa	5
Côte d’Ivoire	Western Africa	5
Estonia	Baltic Countries	5
Finland	Nordic Countries	5
Gambia	Western Africa	5
Guam	Micronesia	5
Guatemala	Central America	5
Hong Kong	Eastern Asia	5
Iraq	Middle East	5
Lithuania	Baltic Countries	5
Luxembourg	Western Europe	5
Macedonia	Southern Europe	5
Moldova	Eastern Europe	5
Nauru	Micronesia	5
Niger	Western Africa	5
Norway	Nordic Countries	5
Réunion	Eastern Africa	5
Slovakia	Eastern Europe	5
Andorra	Southern Europe	4
Aruba	Caribbean	4
Azerbaijan	Middle East	4
Belarus	Eastern Europe	4
Belize	Central America	4
Bolivia	South America	4
Brunei	Southeast Asia	4
Bulgaria	Eastern Europe	4
Cambodia	Southeast Asia	4
Chile	South America	4
Costa Rica	Central America	4
Gabon	Central Africa	4
Honduras	Central America	4
Laos	Southeast Asia	4
Macao	Eastern Asia	4
Malawi	Eastern Africa	4
Monaco	Western Europe	4
Netherlands	Western Europe	4
Nicaragua	Central America	4
Palau	Micronesia	4
Paraguay	South America	4
Poland	Eastern Europe	4
Spain	Southern Europe	4
Switzerland	Western Europe	4
Turkmenistan	Southern and Central Asia	4
Zimbabwe	Eastern Africa	4
Albania	Southern Europe	3
American Samoa	Polynesia	3
Argentina	South America	3
Bhutan	Southern and Central Asia	3
Burundi	Eastern Africa	3
Djibouti	Eastern Africa	3
French Polynesia	Polynesia	3
Guyana	South America	3
Israel	Middle East	3
Jordan	Middle East	3
Lebanon	Middle East	3
Lesotho	Southern Africa	3
Liechtenstein	Western Europe	3
Mayotte	Eastern Africa	3
Netherlands Antilles	Caribbean	3
New Caledonia	Melanesia	3
Peru	South America	3
Samoa	Polynesia	3
Seychelles	Eastern Africa	3
Singapore	Southeast Asia	3
Slovenia	Southern Europe	3
Solomon Islands	Melanesia	3
Sri Lanka	Southern and Central Asia	3
Tajikistan	Southern and Central Asia	3
Trinidad and Tobago	Caribbean	3
Tunisia	Northern Africa	3
Turkey	Middle East	3
Tuvalu	Polynesia	3
United Kingdom	British Islands	3
Vanuatu	Melanesia	3
Venezuela	South America	3
Virgin Islands, U.S.	Caribbean	3
Algeria	Northern Africa	2
Antigua and Barbuda	Caribbean	2
Armenia	Middle East	2
Bahamas	Caribbean	2
Bahrain	Middle East	2
Barbados	Caribbean	2
Cape Verde	Western Africa	2
Christmas Island	Australia and New Zealand	2
Cocos (Keeling) Islands	Australia and New Zealand	2
Cook Islands	Polynesia	2
Croatia	Southern Europe	2
Cyprus	Middle East	2
Dominica	Caribbean	2
Dominican Republic	Caribbean	2
East Timor	Southeast Asia	2
Ecuador	South America	2
Egypt	Northern Africa	2
El Salvador	Central America	2
Equatorial Guinea	Central Africa	2
Faroe Islands	Nordic Countries	2
Fiji Islands	Melanesia	2
French Guiana	South America	2
Gibraltar	Southern Europe	2
Greece	Southern Europe	2
Greenland	North America	2
Guadeloupe	Caribbean	2
Haiti	Caribbean	2
Iceland	Nordic Countries	2
Ireland	British Islands	2
Jamaica	Caribbean	2
Kiribati	Micronesia	2
Kuwait	Middle East	2
Libyan Arab Jamahiriya	Northern Africa	2
Madagascar	Eastern Africa	2
Maldives	Southern and Central Asia	2
Malta	Southern Europe	2
Marshall Islands	Micronesia	2
Martinique	Caribbean	2
Morocco	Northern Africa	2
New Zealand	Australia and New Zealand	2
Niue	Polynesia	2
North Korea	Eastern Asia	2
Oman	Middle East	2
Palestine	Middle East	2
Papua New Guinea	Melanesia	2
Puerto Rico	Caribbean	2
Qatar	Middle East	2
Rwanda	Eastern Africa	2
Saint Kitts and Nevis	Caribbean	2
Saint Lucia	Caribbean	2
Saint Vincent and the Grenadines	Caribbean	2
